,ID,STORE_TYPE,TIMEZONE,OPEN_DATE,NAME,POSTAL_CODE,ADDRESS,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,PHONE_NUMBER
33,425,1,CST,08/03/1982 12:00,Walmart Supercenter,35034,10675 Highway 5,Brent,AL,US,32.96313442,-87.16921873,(205) 926-4878
34,423,1,CST,12/01/1981 12:00,Walmart Supercenter,35007,630 Colonial Promenade Pkwy,Alabaster,AL,US,33.23641866,-86.80369399,(205) 620-0360
35,424,1,CST,08/03/1982 12:00,Walmart Supercenter,35045,1415 7Th St S,Clanton,AL,US,32.8189335,-86.60897165,(205) 755-7574
36,362,1,CST,08/18/1981 12:00,Walmart Supercenter,35594,2575 Us Highway 43,Winfield,AL,US,33.93827833,-87.84120462,(205) 487-4359
37,5262,1,CST,03/17/2004 12:00,Walmart Supercenter,35124,2181 Pelham Pkwy,Pelham,AL,US,33.33913989,-86.79274588,(205) 987-0108
38,2713,1,CST,05/17/2000 12:00,Walmart Supercenter,35235,5919 Trussville Crossings Pkwy,Birmingham,AL,US,33.63945007,-86.62901306,(205) 661-1957
39,4817,3,CST,05/27/2004 12:00,Sam's Club,35235,5940 Trussville Crossings Blvd,Birmingham,AL,US,33.64433772,-86.6247987,(205) 655-0505
40,1063,2,CST,09/01/1987 12:00,Walmart,36340,1608 W Magnolia Ave,Geneva,AL,US,31.050972,-85.89959699,(334) 684-3681
41,562,1,CST,11/01/1983 12:00,Walmart Supercenter,35094,8551 Whitfield Ave,Leeds,AL,US,33.56107391,-86.52073904,(205) 699-0701
42,1124,1,CST,10/01/1987 12:00,Walmart Supercenter,35640,1201 Highway 31 Nw,Hartselle,AL,US,34.45307199,-86.94879899,(256) 773-1675
43,5197,1,CST,01/26/2005 12:00,Walmart Supercenter,35763,330 Sutton Rd Se,Owens Cross Roads,AL,US,34.65764999,-86.48571777,(256) 534-4140
44,723,1,CST,07/04/1981 12:00,Walmart Supercenter,36081,1420 Highway 231 S,Troy,AL,US,31.77898138,-85.94116196,(334) 566-8012
45,315,1,CST,10/14/1980 12:00,Walmart Supercenter,35121,2453 2Nd Ave E,Oneonta,AL,US,33.9720299,-86.44918911,(205) 625-6474
46,316,1,CST,11/18/1980 12:00,Walmart Supercenter,35954,973 Gilbert Ferry Rd Se,Attalla,AL,US,33.994556,-86.09362799,(256) 538-3811
47,6435,3,CST,07/26/1993 12:00,Sam's Club,35405,1401 Skyland Blvd E,Tuscaloosa,AL,US,33.16577911,-87.52057647,(205) 750-8559
48,2534,1,CST,05/21/1997 12:00,Walmart Supercenter,36301,3300 S Oates St,Dothan,AL,US,31.17899299,-85.40399899,(334) 702-1310
49,1493,1,CST,08/01/1990 12:00,Walmart Supercenter,36460,3371 S Alabama Ave,Monroeville,AL,US,31.4821165,-87.33091905,(251) 575-3333
50,394,1,CST,12/01/1981 12:00,Walmart Supercenter,35650,15445 Highway 24,Moulton,AL,US,34.4606018,-87.31880187,(256) 974-1128
51,691,1,CST,07/04/1981 12:00,Walmart Supercenter,35968,2001 Glenn Blvd Sw,Fort Payne,AL,US,34.43862967,-85.76134398,(256) 845-3163
52,5098,4,CST,01/15/2003 12:00,Neighborhood Market,36609,1970 S University Blvd,Mobile,AL,US,30.64955815,-88.16132225,(251) 666-3373
53,726,1,CST,07/04/1981 12:00,Walmart Supercenter,35010,2643 Highway 280,Alexander City,AL,US,32.93900392,-85.97754478,(256) 234-0316
54,1711,1,CST,07/02/1991 12:00,Walmart Supercenter,35210,1600 Montclair Rd,Birmingham,AL,US,33.52616496,-86.72054819,(205) 956-0416
55,1284,1,EST,04/03/1989 12:00,Walmart Supercenter,36867,3700 Hwy 280/431 N.,Phenix City,AL,US,32.49216461,-85.03105163,(334) 291-1700
56,938,1,CST,07/01/1986 12:00,Walmart Supercenter,36117,6495 Atlanta Hwy,Montgomery,AL,US,32.384453,-86.185471,(334) 272-0263
57,5113,1,CST,07/16/2003 12:00,Walmart Supercenter,35125,165 Vaughan Ln,Pell City,AL,US,33.60898554,-86.27980627,(205) 338-5300
58,934,1,CST,07/15/1986 12:00,Walmart Supercenter,36526,27520 Us Highway 98,Daphne,AL,US,30.62506422,-87.90794804,(251) 626-0923
59,4580,4,CST,07/25/2007 12:00,Neighborhood Market,35216,1300 Montgomery Hwy,Vestavia Hills,AL,US,33.42890899,-86.791824,(205) 822-9994
60,4581,1,CST,03/07/2008 12:00,Walmart Supercenter,36695,2500 Dawes Rd,Mobile,AL,US,30.638933,-88.24691799,(251) 633-6023
61,3184,4,CST,08/14/2013 12:00,Neighborhood Market,35216,3320 Lorna Rd,Hoover,AL,US,33.39377246,-86.79836846,(205) 909-4306
62,1091,1,CST,10/01/1987 12:00,Walmart Supercenter,36420,1991 M. L. King Jr.,Andalusia,AL,US,31.3187351,-86.44738934,(334) 222-6561
63,930,1,CST,07/01/1986 12:00,Walmart Supercenter,36116,3801 Eastern Blvd,Montgomery,AL,US,32.326191,-86.232437,(334) 284-4181
64,2723,1,CST,09/15/1999 12:00,Walmart Supercenter,35148,690 Highway 78,Sumiton,AL,US,33.74335214,-87.04240389,(205) 648-4100
65,4189,4,CST,11/06/2013 12:00,Neighborhood Market,35080,335 Helena Marketplace,Helena,AL,US,33.2969284,-86.84338378,(205) 624-1640
66,734,1,CST,07/04/1981 12:00,Walmart Supercenter,36330,600 Boll Weevil Cir,Enterprise,AL,US,31.31549599,-85.828674,(334) 347-5353
67,4776,3,CST,05/07/2003 12:00,Sam's Club,35816,5651 Holmes Ave Nw,Huntsville,AL,US,34.7362442,-86.65867614,(256) 837-7323
68,4188,4,CST,06/12/2013 12:00,Neighborhood Market,35630,1410 Florence Blvd,Florence,AL,US,34.81852032,-87.65789911,(256) 712-6195
69,733,1,EST,07/04/1981 12:00,Walmart Supercenter,36854,3501 20Th Ave,Valley,AL,US,32.83761642,-85.17742641,(334) 768-2118
70,4187,1,CST,01/15/2014 12:00,Walmart Supercenter,35633,2701 Cloverdale Road,Florence,AL,US,34.84138078,-87.6882711,(256) 712-6410
71,4990,3,CST,06/28/2007 12:00,Sam's Club,36526,29683 Frederick Blvd,Daphne,AL,US,30.65922886,-87.85346969,(251) 626-6909
72,731,1,CST,07/04/1981 12:00,Walmart Supercenter,36732,969 Us Highway 80 W,Demopolis,AL,US,32.49721795,-87.848403,(334) 289-2385
73,3386,1,CST,01/23/2006 12:00,Walmart Supercenter,35146,160 Springville Station Blvd,Springville,AL,US,33.77841567,-86.43117523,(205) 467-6656
74,300,1,CST,10/14/1980 12:00,Walmart Supercenter,36265,1625 Pelham Rd S,Jacksonville,AL,US,33.78832407,-85.76127424,(256) 435-8100
75,730,1,CST,07/04/1981 12:00,Walmart Supercenter,35150,41301 Us Highway 280,Sylacauga,AL,US,33.17399494,-86.28704287,(256) 245-0356
76,301,1,CST,08/12/1980 12:00,Walmart Supercenter,35903,340 E Meighan Blvd,Gadsden,AL,US,34.012253,-85.989304,(256) 547-2637
77,409,2,CST,10/13/1981 12:00,Walmart,35565,42466 Hwy 195,Haleyville,AL,US,34.238903,-87.59903468,(205) 486-9498
78,483,1,CST,10/05/1982 12:00,Walmart Supercenter,36066,1903 Cobbs Ford Rd,Prattville,AL,US,32.46247499,-86.416138,(334) 361-2135
79,1481,1,CST,10/29/1990 12:00,Walmart Supercenter,35209,209 Lakeshore Pkwy,Homewood,AL,US,33.44697599,-86.82080799,(205) 945-8692
80,681,1,CST,07/04/1981 12:00,Walmart Supercenter,35976,11697 Us Highway 431,Guntersville,AL,US,34.30113293,-86.27640925,(256) 878-0685
81,403,1,CST,11/03/1981 12:00,Walmart Supercenter,35653,13675 Highway 43,Russellville,AL,US,34.49434719,-87.72610433,(256) 332-7382
82,306,1,CST,02/26/1980 12:00,Walmart Supercenter,35016,1450 No. Brindlee Mt,Arab,AL,US,34.34283099,-86.50266999,(256) 586-8168
83,2739,1,CST,08/18/1999 12:00,Walmart Supercenter,36507,701 Mcmeans Ave,Bay Minette,AL,US,30.88462024,-87.78803855,(251) 937-5558
84,2111,1,CST,07/26/1994 12:00,Walmart Supercenter,35242,5335 Highway 280,Birmingham,AL,US,33.41930307,-86.6756232,(205) 980-5156
85,5100,4,CST,01/15/2003 12:00,Neighborhood Market,35215,1916 Center Point Pkwy,Birmingham,AL,US,33.63725468,-86.68381869,(205) 520-0269
86,4836,3,CST,07/23/2014 12:00,Sam's Club,36203,1900 Oxford Exchange Blvd,Oxford,AL,US,33.61091995,-85.78195953,(256) 342-0125
87,1101,1,CST,10/20/1987 12:00,Walmart Supercenter,36092,4538 Us Highway 231,Wetumpka,AL,US,32.50735066,-86.2144576,(334) 567-3066
88,4989,3,CST,01/17/2008 12:00,Sam's Club,36830,2335 Bent Creek Rd,Auburn,AL,US,32.60796356,-85.42636108,(334) 821-0121
89,1100,1,CST,12/31/1987 12:00,Walmart Supercenter,35570,1706 Military St S,Hamilton,AL,US,34.11951251,-87.98964008,(205) 921-3090
90,1201,1,CST,08/16/1988 12:00,Walmart Supercenter,35071,890 Odum Rd,Gardendale,AL,US,33.64672099,-86.823395,(205) 631-8110
91,1212,1,CST,09/01/1988 12:00,Walmart Supercenter,36571,1095 Industrial Pkwy,Saraland,AL,US,30.79934899,-88.096901,(251) 675-8000
92,670,1,CST,07/04/1981 12:00,Walmart Supercenter,35055,626 Olive St Sw,Cullman,AL,US,34.14949399,-86.84211,(256) 739-1664
93,332,1,CST,10/13/1981 12:00,Walmart Supercenter,35806,6140A Univ Drive,Huntsville,AL,US,34.74620056,-86.67575073,(256) 837-7272
94,5703,2,CST,10/26/2012 12:00,Walmart,35758,8580 Hwy 72 W,Madison,AL,US,34.74797822,-86.7727071,(256) 716-6951
95,287,1,CST,11/27/1979 12:00,Walmart Supercenter,35501,1801 Highway 78 E,Jasper,AL,US,33.84474299,-87.25358963,(205) 384-1100
96,700,1,CST,07/04/1981 12:00,Walmart Supercenter,36703,1501 Al Highway 14 E,Selma,AL,US,32.43374299,-87.012741,(334) 874-7793
97,5174,1,CST,01/21/2004 12:00,Walmart Supercenter,36575,7855 Moffett Rd,Semmes,AL,US,30.761776,-88.22907999,(251) 645-8224
98,1158,1,CST,03/01/1988 12:00,Walmart Supercenter,35214,2473 Hackworth Rd,Birmingham,AL,US,33.57949099,-86.92421699,(205) 798-9721
99,991,1,CST,11/11/1986 12:00,Walmart Supercenter,36606,101 E I65 Service Rd S,Mobile,AL,US,30.68438731,-88.12666542,(251) 471-1105
100,1620,1,CST,11/14/1990 12:00,Walmart Supercenter,36426,2578 Douglas Ave,Brewton,AL,US,31.14693157,-87.06729814,(251) 867-4680
101,2748,1,CST,07/21/2004 12:00,Walmart Supercenter,36542,170 E Fort Morgan Rd,Gulf Shores,AL,US,30.26487842,-87.68626078,(251) 968-5871
102,853,1,CST,08/20/1985 12:00,Walmart Supercenter,36695,685 Schillinger Rd S,Mobile,AL,US,30.67644394,-88.22541765,(251) 633-2211
103,4648,4,CST,01/29/2014 12:00,Neighborhood Market,36608,6575 Airport Blvd,Mobile,AL,US,30.67780099,-88.19518999,(251) 370-9845
104,660,1,CST,07/04/1981 12:00,Walmart Supercenter,35661,517 Avalon Ave,Muscle Shoals,AL,US,34.74490441,-87.66979269,(256) 381-0987
105,715,1,CST,07/04/1981 12:00,Walmart Supercenter,35405,1501 Skyland Blvd E,Tuscaloosa,AL,US,33.16568,-87.518433,(205) 750-0823
106,329,1,CST,04/15/1980 12:00,Walmart Supercenter,36206,5560 Mcclellan Blvd,Anniston,AL,US,33.71903792,-85.81810288,(256) 820-3326
107,1174,1,CST,04/12/1988 12:00,Walmart Supercenter,36784,34301 Highway 43,Thomasville,AL,US,31.93959742,-87.73719057,(334) 636-0219
108,2690,1,CST,10/28/1998 12:00,Walmart Supercenter,35758,8650 Madison Blvd,Madison,AL,US,34.68304799,-86.741341,(256) 461-7403
109,8196,3,CST,10/21/1991 12:00,Sam's Club,35630,364 Cox Creek Pkwy,Florence,AL,US,34.84038543,-87.63311004,(256) 767-9960
110,1229,1,CST,04/03/1989 12:00,Walmart Supercenter,35244,2780 John Hawkins Pkwy,Hoover,AL,US,33.36352989,-86.82622119,(205) 733-0303
111,298,1,CST,08/12/1980 12:00,Walmart Supercenter,35957,1972 Hwy 431,Boaz,AL,US,34.21468,-86.153801,(256) 593-0195
112,712,1,CST,07/04/1981 12:00,Walmart Supercenter,35768,24833 John T Reid Prkwy,Scottsboro,AL,US,34.66903612,-86.00965216,(256) 574-1126
113,2488,4,CST,04/19/2013 12:00,Neighborhood Market,35601,1203 6Th Ave Se,Decatur,AL,US,34.589336,-86.980721,(256) 822-6366
114,8192,3,CST,08/12/1991 12:00,Sam's Club,36303,3440 Ross Clark Cir,Dothan,AL,US,31.24436759,-85.42693328,(334) 671-5005
115,904,1,CST,01/21/1986 12:00,Walmart Supercenter,36535,2200 S Mckenzie St,Foley,AL,US,30.38287952,-87.68342636,(251) 943-3400
116,2173,4,CST,09/24/2014 12:00,Neighborhood Market,36345,14331 County Rd. 99,Headland,AL,US,31.3746891,-85.30924987,(334) 693-9000
117,8247,3,CST,10/10/1984 12:00,Sam's Club,35209,201 Lakeshore Pkwy,Homewood,AL,US,33.44725418,-86.81938934,(205) 941-3326
118,8102,3,CST,06/30/1987 12:00,Sam's Club,36606,601 E I65 Service Rd S,Mobile,AL,US,30.67672356,-88.12460146,(251) 479-1346
119,661,1,CST,07/04/1981 12:00,Walmart Supercenter,35611,1011 Us Highway 72 E,Athens,AL,US,34.78665165,-86.95898585,(256) 230-2981
120,662,1,CST,07/04/1981 12:00,Walmart Supercenter,35603,2800 Spring Avn. S.W,Decatur,AL,US,34.557465,-86.998817,(256) 350-4624
121,4657,4,CST,06/25/2008 12:00,Neighborhood Market,36609,6350 Cottage Hill Rd,Mobile,AL,US,30.641127,-88.190155,(251) 661-1717
122,8106,3,CST,06/30/1987 12:00,Sam's Club,36117,1080 Eastern Blvd,Montgomery,AL,US,32.40715272,-86.21529042,(334) 272-0277
123,4330,1,CST,06/13/2007 12:00,Walmart Supercenter,35043,16077 Highway 280,Chelsea,AL,US,33.35005916,-86.6179537,(205) 678-2222
124,8107,3,CST,06/30/1987 12:00,Sam's Club,35803,2235 National Blvd Sw,Huntsville,AL,US,34.64243698,-86.57174682,(256) 881-8186
125,356,1,CST,09/01/1981 12:00,Walmart Supercenter,36832,1717 S College St,Auburn,AL,US,32.570694,-85.49681099,(334) 821-2493
126,355,1,CST,11/18/1980 12:00,Walmart Supercenter,36801,2900 Pepperell Pkwy,Opelika,AL,US,32.63563133,-85.42066119,(334) 745-9333
127,4724,3,CST,06/28/2001 12:00,Sam's Club,35244,3053 John Hawkins Pkwy,Hoover,AL,US,33.37366867,-86.80812072,(205) 982-0596
128,8212,3,CST,09/14/1987 12:00,Sam's Club,35210,3900 Grants Mill Rd,Irondale,AL,US,33.53350448,-86.69232177,(205) 956-3987
129,2760,1,CST,09/15/1999 12:00,Walmart Supercenter,36545,4206 N College Ave,Jackson,AL,US,31.5570487,-87.87643477,(251) 247-7101
130,7254,2,CST,12/09/2013 12:00,Walmart,35810,1 Cotton Valley Drive Nw,Huntsville,AL,US,34.83142099,-86.63697799,-
131,6173,2,CST,09/24/2014 12:00,Walmart,36567,21141 State Hwy 59,Robertsdale,AL,US,30.53298667,-87.70842254,(251) 947-4424
132,5653,4,CST,05/18/2011 12:00,Neighborhood Market,36561,25241 Perdido Beach Blvd Ste W,Orange Beach,AL,US,30.2691,-87.594322,(251) 974-1810
133,5348,1,CST,07/19/2006 12:00,Walmart Supercenter,36107,851 Ann St,Montgomery,AL,US,32.370693,-86.26841,(334) 223-7177
134,1052,1,CST,02/03/1987 12:00,Walmart Supercenter,35555,3186 Highway 171 N,Fayette,AL,US,33.73374916,-87.80914351,(205) 932-5277
135,7247,2,CST,08/06/2014 12:00,Walmart,36502,911 N Main Street,Atmore,AL,US,31.03685438,-87.49345757,(251) 368-1403
136,1638,1,CST,11/14/1990 12:00,Walmart Supercenter,36027,3176 S Eufaula Ave,Eufaula,AL,US,31.84378959,-85.16749486,(334) 687-2218
137,863,1,CST,10/15/1985 12:00,Walmart Supercenter,36274,4180 Us Hwy 431,Roanoke,AL,US,33.16356584,-85.36669783,(334) 863-2147
138,4333,1,CST,07/18/2007 12:00,Walmart Supercenter,36532,10040 County Road 48,Fairhope,AL,US,30.52358016,-87.85209372,(251) 990-9006
139,866,1,CST,06/30/1988 12:00,Walmart Supercenter,36619,5245 Rangeline Service Rd S,Mobile,AL,US,30.59473447,-88.16468574,(251) 666-7972
140,5433,1,CST,10/27/2004 12:00,Walmart Supercenter,71909,3604 N Highway 7,Hot Springs Village,AR,US,34.63186942,-93.05907547,(501) 318-0185
141,144,1,CST,09/01/1976 12:00,Walmart Supercenter,72704,2875 W Mrtn Luther K,Fayetteville,AR,US,36.10471343,-94.30387115,(479) 582-0428
142,4108,2,CST,08/13/2014 12:00,Walmart,72762,4870 Elm Springs Road,Springdale,AR,US,36.19342468,-94.18372638,(479) 306-7025
143,373,2,CST,03/10/1981 12:00,Walmart,72740,157 Gary Hatfield Way,Huntsville,AR,US,36.10107421,-93.68779754,(479) 738-2001
144,24,1,CST,04/01/1971 12:00,Walmart Supercenter,72076,2000 John Harden Dr,Jacksonville,AR,US,34.88533782,-92.11180877,(501) 985-8731
145,141,1,CST,05/01/1976 12:00,Walmart Supercenter,72903,8301 Rogers Ave,Fort Smith,AR,US,35.34946823,-94.33875274,(479) 484-5205
146,1114,1,CST,02/02/1988 12:00,Walmart Supercenter,72560,409 Sylamore Ave,Mountain View,AR,US,35.86733627,-92.10250854,(870) 269-4395
147,5837,4,CST,06/24/2009 12:00,Neighborhood Market,72758,5000 Pauline Whitaker Parkway,Rogers,AR,US,36.29718017,-94.12140655,(479) 254-1004
148,8763,3,CST,01/01/2114 12:00,Sam's Club,72712,608 Sw 8Th St,Bentonville,AR,US,36.36497879,-94.21578979,-
149,4079,4,CST,05/15/2014 12:00,Neighborhood Market,72761,935 S. Holly St,Siloam Springs,AR,US,36.17716513,-94.55911025,-
150,4075,4,CST,05/04/2014 12:00,Neighborhood Market,72730,372 W Main St,Farmington,AR,US,36.03847213,-94.25547346,-
151,2997,42,CST,01/14/2011 12:00,Walmart Express - Urban,72701,616 N Garland Ave Ste 363,Fayetteville,AR,US,36.07225857,-94.17544037,(479) 443-1588
152,3168,4,CST,07/17/2013 12:00,Neighborhood Market,72034,2550 Prince St,Conway,AR,US,35.09222567,-92.46422454,(501) 205-7262
153,4686,4,CST,08/28/2013 12:00,Neighborhood Market,72712,906 Sw Regional Airport Blvd,Bentonville,AR,US,36.33573196,-94.2203667,(479) 268-7678
154,5737,4,CST,05/18/2011 12:00,Neighborhood Market,72704,3475 W Black Forest Drive,Fayetteville,AR,US,36.07750497,-94.21035535,(479) 442-1778
155,8,1,CST,10/01/1967 12:00,Walmart Supercenter,72110,1621 North Business 9,Morrilton,AR,US,35.16892611,-92.72412322,(501) 354-0290
156,5738,4,CST,01/07/2009 12:00,Neighborhood Market,72764,3553 E Robinson Ave,Springdale,AR,US,36.164169,-94.09201799,(479) 750-4683
157,7,1,CST,10/01/1967 12:00,Walmart Supercenter,72120,9053 Highway 107,Sherwood,AR,US,34.83861499,-92.23609199,(501) 833-0972
158,6,2,CST,08/01/1997 12:00,Walmart,72716,702 Sw 8Th St,Bentonville,AR,US,36.36435851,-94.21730898,-
159,5,1,CST,05/01/1972 12:00,Walmart Supercenter,72032,1155 Hwy 65 North,Conway,AR,US,35.108513,-92.437927,(501) 329-0023
160,157,1,CST,01/01/1977 12:00,Walmart Supercenter,72143,3509 E Race Ave,Searcy,AR,US,35.25029964,-91.687662,(501) 268-2207
161,4,1,CST,08/01/1965 12:00,Walmart Supercenter,72761,2901 Highway 412 E,Siloam Springs,AR,US,36.183174,-94.512611,(479) 524-5101
162,2,1,CST,08/01/1964 12:00,Walmart Supercenter,72601,161 N. Walmart Drive,Harrison,AR,US,36.25112152,-93.07537078,(870) 365-8400
163,1,1,CST,07/02/1962 12:00,Walmart Supercenter,72756,2110 W Walnut St,Rogers,AR,US,36.332031,-94.14904799,(479) 636-3222
164,2587,1,CST,10/29/1997 12:00,Walmart Supercenter,72023,304 S Rockwood Dr,Cabot,AR,US,34.97834376,-92.03716725,(501) 941-5200
165,36,1,CST,11/01/1971 12:00,Walmart Supercenter,72450,2802 W Kingshighway,Paragould,AR,US,36.05991773,-90.52305489,(870) 236-9707
166,5260,1,CST,05/18/2005 12:00,Walmart Supercenter,72758,4208 Pleasant Crossing Blvd,Rogers,AR,US,36.27949523,-94.15155792,(479) 621-9769
167,4969,3,CST,09/28/2006 12:00,Sam's Club,72712,3500 Se Club Blvd,Bentonville,AR,US,36.35234069,-94.17165374,(479) 621-5537
168,33,1,CST,06/01/1971 12:00,Walmart Supercenter,71852,1710 S 4Th St,Nashville,AR,US,33.92859488,-93.85130681,(870) 845-1881
169,1065,1,CST,08/18/1987 12:00,Walmart Supercenter,71801,2400 N Hervey St,Hope,AR,US,33.68332765,-93.61351154,(870) 777-5500
170,4715,3,CST,01/01/2114 12:00,Sam's Club,72716,608 Sw 8Th Street,Bentonville,AR,US,36.36497879,-94.21578979,-
171,2431,4,CST,02/13/2013 12:00,Neighborhood Market,72143,1330 W Beebe Capps Expy,Searcy,AR,US,35.24428009,-91.75081461,(501) 203-2010
172,788,1,CST,09/10/1985 12:00,Walmart Supercenter,72031,1966 Highway 65 S,Clinton,AR,US,35.56709937,-92.45210498,(501) 745-2498
173,128,1,CST,08/01/1978 12:00,Walmart Supercenter,72404,1911 W Parker Rd,Jonesboro,AR,US,35.81604003,-90.73358917,(870) 972-6350
174,127,1,CST,02/01/1976 12:00,Walmart Supercenter,72104,1910 Martin Luther King Blvd,Malvern,AR,US,34.39249031,-92.82905459,(501) 337-9485
175,126,1,CST,03/01/1976 12:00,Walmart Supercenter,72205,2700 S Shackleford Rd,Little Rock,AR,US,34.72865699,-92.398003,(501) 223-0604
176,125,1,CST,04/01/1975 12:00,Walmart Supercenter,72901,2425 South Zero St,Fort Smith,AR,US,35.32903671,-94.40706634,(479) 646-6382
177,52,1,CST,07/01/1972 12:00,Walmart Supercenter,71913,1601 Albert Pike Rd,Hot Springs,AR,US,34.491402,-93.089111,(501) 624-2498
178,318,1,CST,04/15/1980 12:00,Walmart Supercenter,71923,109 Wp Malone Dr,Arkadelphia,AR,US,34.11848992,-93.09498757,(870) 246-2459
179,124,1,CST,03/01/1975 12:00,Walmart Supercenter,72209,8801 Baseline Rd,Little Rock,AR,US,34.66784299,-92.377144,(501) 565-0274
